stein_lam_abs,_timestamp,corrector_loss,_step,energy_w2,stein_var_ratio,_runtime,adjoint_buffer_size,stein_score_loss,dist_w2,adjoint_loss,stein_bias_z,eq_w2,stein_active,stein_tau_mean,corrector_buffer_size
9.490952491760254,1790075541.3932047,,2213,,0.8169395327568054,9307.412307679,10000.0,-75.8108139038086,,1.3817654848098755,2.488203487632369,,1.0,0.9289901256561279,
9.182916641235352,1790075545.4109688,,2214,,0.8179226517677307,9311.436406997,10000.0,-76.08373260498047,,1.382614254951477,3.0303129393024064,,1.0,0.9266364574432373,
9.235858917236328,1790075549.4350698,,2215,,0.8163299560546875,9315.451307622,10000.0,-75.714599609375,,1.39752197265625,2.7105477751806677,,1.0,0.9272923469543457,
9.201821327209473,1790075553.449943,,2216,,0.8105645775794983,9319.476144684,10000.0,-76.35795593261719,,1.4002119302749634,2.1872958233945483,,1.0,0.926306962966919,
9.254768371582031,1790075557.474841,,2217,,0.8145296573638916,9323.485480533,10000.0,-75.53882598876953,,1.3971121311187744,2.4894335376971917,,1.0,0.9274049997329712,
9.360259056091309,1790075561.48416,,2218,,0.8172067999839783,9327.671180953,10000.0,-76.55640411376953,,1.3653602600097656,2.427523130447994,,1.0,0.9284466505050659,
8.961758613586426,1790075565.6698296,,2219,,0.8211958408355713,9331.676867841,10000.0,-76.57386016845703,,1.3840386867523193,2.7053220876192703,,1.0,0.9281780123710632,
9.099379539489746,1790075569.675494,,2220,,0.8172603845596313,9335.7089809,10000.0,-76.45597839355469,,1.38490891456604,2.8957300173025033,,1.0,0.9277709126472473,
9.084665298461914,1790075573.7076473,,2221,,0.8166689276695251,9339.719551175,10000.0,-77.35708618164062,,1.3733361959457397,2.9971754634643157,,1.0,0.9289531111717224,
9.116252899169922,1790075577.7182007,,2222,,0.814382016658783,9343.74407775,10000.0,-77.21578216552734,,1.385403037071228,2.778883753355385,,1.0,0.9276458621025085,
9.423079490661621,1790075581.7427313,,2223,,0.8166302442550659,9347.765548285,10000.0,-76.96137237548828,,1.3748960494995117,2.3692087275078246,,1.0,0.9280880093574524,
9.549385070800781,1790075585.7642307,,2224,,0.8166760206222534,9351.779014115,10000.0,-77.70531463623047,,1.3697516918182373,1.9737749731856822,,1.0,0.9279220700263977,
9.395748138427734,1790075589.7776916,,2225,,0.8154833912849426,9355.916340884,10000.0,-77.18571472167969,,1.3868391513824463,3.125819067691336,,1.0,0.9270795583724976,
9.38503360748291,1790075593.9150188,,2226,,0.819670557975769,9359.947829226,10000.0,-76.6459732055664,,1.3837486505508423,2.1813693056530665,,1.0,0.9291189312934875,
9.342880249023438,1790075597.946486,,2227,,0.8157681226730347,9363.960304553,10000.0,-77.15140533447266,,1.4072494506835938,2.133947155122284,,1.0,0.9273400902748108,
9.457218170166016,1790075601.9589841,,2228,,0.814399778842926,9367.989397043,10000.0,-76.30493927001953,,1.3937116861343384,2.6599221321361424,,1.0,0.9266455173492432,
9.133136749267578,1790075605.9880471,,2229,,0.8162170648574829,9372.016490684,10000.0,-76.48397827148438,,1.4435921907424927,3.359262298200099,,1.0,0.9268774390220642,
9.376989364624023,1790075610.015136,,2230,,0.8162068724632263,9376.041552598,10000.0,-76.90936279296875,,1.3933886289596558,3.3872082494497926,,1.0,0.9275022745132446,
9.538263320922852,1790075614.0401807,,2231,,0.8131166100502014,9380.075834236,10000.0,-76.77998352050781,,1.3945298194885254,2.4146743565238125,,1.0,0.9261125326156616,
9.666942596435547,1790075618.0745115,,2232,,0.8134172558784485,9384.088874296,10000.0,-76.86918640136719,,1.41298508644104,2.330356383127811,,1.0,0.9270777106285095,
9.792306900024414,1790075622.0875294,,2233,,0.818729043006897,9388.249266203,10000.0,-74.8545913696289,,1.4510126113891602,3.0229086500070728,,1.0,0.9278445243835449,
9.867717742919922,1790075626.247919,,2234,,0.8169500231742859,9392.263864992,10000.0,-77.27046966552734,,1.3854987621307373,2.2604480551961026,,1.0,0.9273738861083984,
9.935909271240234,1790075630.2624655,,2235,,0.8150886297225952,9396.275754711,10000.0,-76.40933990478516,,1.3831870555877686,2.561550627179456,,1.0,0.9281397461891174,
9.697012901306152,1790075634.2744253,,2236,,0.8342669606208801,9400.30499838,10000.0,-74.8919448852539,,1.7347264289855957,2.6784317742673514,,1.0,0.9278180003166199,
